Ticker ,Date,# Orders,Order Qty,"Executed
Qty",Executed Value ,Average Order Qty,Spread Cost (Bps),"Open
 Price","Arrival
 Mid
 Price","Close
 Price","Fill 
Rate"
AEG.N,20160530,3,110,110,563,37,20.07,-20.07,-2.76,24.01,1.00
AEGN.OQ,20160530,3,2069,2069,44185,690,27.56,54.48,-5.66,-43.96,1.00
AEGR.OQ,20160530,10,19,19,41,2,45.26,-796.68,-24.43,-44.66,1.00
AEIS.OQ,20160530,6,3188,3188,113685,531,12.82,237.83,-1.04,-5.27,1.00
AEL.N,20160530,14,15665,15624,231420,1119,12.28,230.88,-0.96,-26.6,1.00
AEM.N,20160530,34,294733,294642,13399145,8669,4.10,208.36,-2.72,-5.72,1.00
AEO.N,20160530,26,227081,223872,3277167,8734,7.03,101.14,-7.04,-14.38,0.99
AEP.N,20160530,31,281630,244837,15845315,9085,2.33,104.57,-6.91,3.27,0.87
AER.N,20160530,28,133298,120632,4541380,4761,4.59,-418.99,1.03,-5.26,0.91
AES.N,20160530,3,7005,7005,75745,2335,9.06,192.39,-12.14,21.78,1.00
AET.N,20160530,26,20859,20739,2316836,802,4.16,-133.32,-4.71,6.46,0.99
AFAM.OQ,20160530,10,12529,12529,516275,1253,47.93,200.92,-8.34,13.9,1.00
AFG.N,20160530,2,263,263,18285,132,7.60,-36.70,0.04,39.5,1.00
AFH.OQ,20160530,2,242,242,4173,121,72.54,0.22,-16.82,-5.56,1.00
AFL.N,20160530,30,127425,127425,8801111,4248,2.22,51.53,-2.58,-1.86,1.00
AFOP.OQ,20160530,30,8907,7461,138132,297,5.53,-5.66,-2.6,-4.83,0.84
AFSI.OQ,20160530,27,60372,60372,1566101,2236,7.59,195.03,-4.43,8.23,1.00
AG.N,20160530,15,25901,25901,277888,1727,9.60,-88.80,-0.78,-25.46,1.00
AGCO.N,20160530,7,2714,2714,139946,388,5.54,27.41,0.29,15.98,1.00
AGI.N,20160530,8,18083,12781,87409,2260,15.27,157.36,4.22,-17.76,0.71
AGIO.OQ,20160530,1,44,44,1970,44,44.79,353.32,-14.51,-140.38,1.00
AGM.N,20160530,41,20673,19935,735346,504,50.83,272.88,-14.15,-27.37,0.96
AGN.N,20160530,35,22483,21637,4809978,642,6.15,44.61,-0.53,-6.37,0.96
